Unique ID ,Last Name,First Name,Full Candidate Name,Party
,Fenenbock,Dori,Dori Fenenbock,Democrat
,Escobar,Veronica,Veronica Escobar,Democrat
,Leclaire,Nicole,Nicole Jenae Leclaire,Democrat
,Pate,Ava,Ava Pate,Republican
,Peterka,Jessica Lee,Jessica Lee Peterka,Independent
,Bartley,Lori Anita,Lori Anita Bartley,Independent
,Jackson,Sheila,Sheila Jackson Lee-Incumbent,Democrat
,Wilson,Mary,Mary E. Wilson,Democrat
,Plummer,Letitia,Letitia Plummer,Democrat
,Williams,Stephanie,Stephanie Williams,
,Arredondo-Lynch,Alma,Alma Arredondo-Lynch,Republican
,Jones,Gina Ortiz,Gina Ortiz Jones,Democrat
,Canales,Judith Ann,Judith Ann Canales,Democrat
,McDowell,Jan,Jan McDowell,Democrat
,Thomas,Kathi,Kathi Thomas,Democrat
,Oliver,Julie Lynn,Julie Lynn Oliver,Democrat
,Fagan,Linsey,Linsey Fagan,Democrat
,Birkenstock,Veronica,Veronica Birkenstock,Republican
,Johnson,Eddie (Ms.),Eddie Johnson (Ms.) - Incumbent,Democrat
,Mann,Christine E.,Christine Eady Mann,Democrat
,Hegar,Mary J.,Mary Jennings Hegar,Democrat
,Pellett,Danielle,Danielle J. Pellett,Democrat
,Salerno,Lillian,Lillian Salerno,Democrat
,Steele,Dayna,Dayna Steele,Democrat
,Wilson,Jenny,Jenny Wilson,Democrat
,Snow,Misty,Misty K. Snow,Democrat
,Surveyor,Charlotte,Charlotte Surveyor,Democrat
,Ghorbani,Shireen,Shireen Sarah Ghorbani,Democrat
,Burkett,Mary,Mary Burkett,Republican
,Love,Mia,Mia Love-Incumbent,Republican
,McDonald,Darlene,Darlene McDonald,Democrat
,Adeluola,Folasade,Folasade Adeluola,
,Mallard,Karen P.,Karen Powers Mallard,Democrat
,Jones,Mary,Mary Jones,Republican
,Brown,Shaun Denise,Shaun Denise Brown,Democrat
,Cockburn,Leslie,Leslie Cockburn,Democrat
,Alli,Helen,Helen Alli,Democrat
,Bedell,Eileen,Eileen McNeil Bedell,Democrat
,Spanberger,Abigail,Abigail Spanberger,Democrat
,Noble,Janelle,Janelle Noble,Democrat
,Wexton,Jennifer,Jennifer Wexton,Democrat
,Friedman,Alison,Alison Friedman,Democrat
,Adams,Kimberly,Kimberly Adams,Democrat
,Biggins,Julia E.,Julia Elizabeth Biggins,Democrat
,Stover,Lindsey D.,Lindsey Davis Stover,Democrat
,Constock,Barbara,Barbara Comstock-Incumbent,Republican
,Cantwell,Maria,Maria Cantwell-Incumbent,Democrat
,Ferguson,Jennifer,Jennifer Ferguson,Democrat
,Delbene,Suzan,Suzan DelBene-Incumbent,Democrat
,Herrera Beutler,Jamie,Jaime Herrera Beutler-Incumbent,Republican
,Gasque,Dorothy,Dorothy Gasque,Democrat
,Brown,Christine C.,Christine Brown,Democrat
,McMorris Rodgers,Cathy,Cathy McMorris Rodgers-Incumbent,Republican
,Brown,Lisa,Lisa Brown,Democrat
,Jayapal,Pramila,Pramila Jayapal-Incumbent,Democrat
,Schrier,Kim,Kim Schrier,Democrat
,Das,Mona,Mona Das,Democrat
,Smith,Sarah,Sarah Smith,Democrat
,Vukmir,Leah,Leah Vukmir,Republican
,Walters,Mary Jo,Mary Jo Walters,Independent
,Baldwin,Tammy,Tammy Baldwin-Incumbent,Democrat
,Myers,Cathy,Cathy Myers,Democrat
,Moore,Gwen,Gwen Moore-Incumbent,Democrat
,Lloyd,Sarah,Sarah Lloyd,Democrat
,Swearengin,Paula,Paula Jean Swearengin,Democrat
,Fershee,Kendra,Kendra Jean H. Fershee,Democrat
,SErgent,Talley,Talley Sergent,Democrat
,Miller,Carol D.,Carol Devine Miller,Republican
,Amjad,Ayne,Ayne Amjad,Republican
,Cheney,Elizabeth,Liz Cheney-Incumbent,Democrat
